Category,Item,Serving Size,Calories,Calories from Fat,Total Fat,Total Fat (% Daily Value),Saturated Fat,Saturated Fat (% Daily Value),Trans Fat,Cholesterol,Cholesterol (% Daily Value),Sodium,Sodium (% Daily Value),Carbohydrates,Carbohydrates (% Daily Value),Dietary Fiber,Dietary Fiber (% Daily Value),Sugars,Protein,Vitamin A (% Daily Value),Vitamin C (% Daily Value),Calcium (% Daily Value),Iron (% Daily Value),Health_Status
Chicken & Fish,Bacon Cheddar McChicken,6 oz (171 g),480.0,220.0,24.0,38.0,7.0,35.0,0.9464285714285714,65.0,21.0,1260.0,53.0,43.0,14.0,2.0,8.0,6.0,22.0,4.0,10.0,20.0,15.0,Healthy
Chicken & Fish,Bacon Buffalo Ranch McChicken,5.7 oz (161 g),430.0,190.0,21.0,32.0,5.0,25.0,0.9464285714285714,50.0,17.0,1260.0,53.0,41.0,14.0,2.0,7.0,6.0,20.0,2.0,10.0,15.0,15.0,Healthy
Chicken & Fish,Buffalo Ranch McChicken,5.2 oz (148 g),360.0,150.0,16.0,25.0,3.0,16.0,0.9464285714285714,35.0,11.0,990.0,41.0,40.0,13.0,2.0,7.0,5.0,14.0,2.0,2.0,15.0,15.0,Healthy
Chicken & Fish,Premium McWrap Chicken & Bacon (Crispy Chicken),11.1 oz (316 g),630.0,280.0,32.0,49.0,9.0,45.0,0.5,80.0,26.0,1540.0,64.0,56.0,19.0,3.0,13.0,7.0,32.0,60.0,20.0,20.0,20.0,Unhealthy
Chicken & Fish,Premium McWrap Chicken & Bacon (Grilled Chicken),10.7 oz (302 g),480.0,170.0,19.0,28.0,7.0,36.0,0.9464285714285714,95.0,32.0,1370.0,57.0,42.0,14.0,3.0,13.0,6.0,36.0,60.0,25.0,20.0,20.0,Healthy
Chicken & Fish,Premium McWrap Chicken & Ranch (Crispy Chicken),10.9 oz (310 g),610.0,280.0,31.0,47.0,8.0,40.0,0.5,65.0,21.0,1340.0,56.0,56.0,19.0,3.0,14.0,8.0,27.0,60.0,15.0,20.0,20.0,Unhealthy
Chicken & Fish,Premium McWrap Chicken & Ranch (Grilled Chicken),10.5 oz (297 g),450.0,160.0,18.0,27.0,6.0,31.0,0.5,80.0,27.0,1170.0,49.0,42.0,14.0,3.0,14.0,6.0,30.0,60.0,15.0,15.0,20.0,Healthy
Chicken & Fish,Premium McWrap Southwest Chicken (Crispy Chicken),11.1 oz (314 g),670.0,300.0,33.0,51.0,8.0,40.0,0.5,60.0,21.0,1480.0,62.0,68.0,23.0,5.0,19.0,12.0,27.0,60.0,15.0,20.0,20.0,Unhealthy
Chicken & Fish,Premium McWrap Southwest Chicken (Grilled Chicken),11.2 oz (318 g),520.0,180.0,20.0,31.0,6.0,32.0,0.9464285714285714,80.0,27.0,1320.0,55.0,55.0,18.0,5.0,20.0,10.0,31.0,70.0,15.0,20.0,20.0,Unhealthy
Chicken & Fish,Premium McWrap Chicken Sweet Chili (Crispy Chicken),10.7 oz (304 g),540.0,200.0,23.0,35.0,4.5,23.0,0.9464285714285714,50.0,16.0,1260.0,52.0,61.0,20.0,3.0,13.0,14.0,23.0,60.0,15.0,8.0,20.0,Unhealthy
Chicken & Fish,Premium McWrap Chicken Sweet Chili (Grilled Chicken),10.3 oz (291 g),380.0,90.0,10.0,15.0,3.0,14.0,0.9464285714285714,65.0,22.0,1090.0,45.0,47.0,16.0,3.0,13.0,12.0,27.0,60.0,15.0,8.0,20.0,Healthy
Chicken & Fish,Chicken McNuggets (4 piece),2.3 oz (65 g),190.0,110.0,12.0,18.0,2.0,10.0,0.9464285714285714,25.0,9.0,360.0,15.0,12.0,4.0,1.0,2.0,32.5531914893617,9.0,17.63131313131313,2.0,24.34375,2.0,Healthy
Chicken & Fish,Chicken McNuggets (6 piece),3.4 oz (97 g),280.0,160.0,18.0,27.0,3.0,15.0,0.9464285714285714,40.0,13.0,540.0,22.0,18.0,6.0,1.0,4.0,32.5531914893617,13.0,17.63131313131313,2.0,2.0,4.0,Healthy
Chicken & Fish,Chicken McNuggets (10 piece),5.7 oz (162 g),470.0,270.0,30.0,45.0,5.0,25.0,0.9464285714285714,65.0,22.0,900.0,37.0,30.0,10.0,2.0,6.0,32.5531914893617,22.0,17.63131313131313,4.0,2.0,6.0,Healthy
Chicken & Fish,Chicken McNuggets (20 piece),11.4 oz (323 g),940.0,530.0,59.0,91.0,10.0,50.0,0.9464285714285714,135.0,44.0,1800.0,75.0,59.0,20.0,3.0,12.0,32.5531914893617,44.0,17.63131313131313,8.0,4.0,10.0,Unhealthy
Chicken & Fish,Chicken McNuggets (40 piece),22.8 oz (646 g),1880.0,1060.0,118.0,182.0,20.0,101.0,1.0,265.0,89.0,3600.0,150.0,118.0,39.0,6.0,24.0,1.0,87.0,17.63131313131313,15.0,8.0,25.0,Unhealthy
Chicken & Fish,Filet-O-Fish,5 oz (142 g),390.0,170.0,19.0,29.0,4.0,19.0,0.9464285714285714,40.0,14.0,590.0,24.0,39.0,13.0,2.0,7.0,5.0,15.0,2.0,22.642857142857142,15.0,10.0,Healthy
Salads,Premium Bacon Ranch Salad (without Chicken),7.9 oz (223 g),140.0,70.0,7.0,11.0,3.5,18.0,0.9464285714285714,25.0,9.0,300.0,13.0,10.0,3.0,3.0,12.0,4.0,9.0,170.0,30.0,15.0,6.0,Healthy
Salads,Premium Bacon Ranch Salad with Crispy Chicken,9 oz (255 g),380.0,190.0,21.0,33.0,6.0,29.0,0.9464285714285714,70.0,23.0,860.0,36.0,22.0,7.0,2.0,10.0,5.0,25.0,100.0,25.0,15.0,8.0,Healthy
Salads,Premium Bacon Ranch Salad with Grilled Chicken,8.5 oz (241 g),220.0,80.0,8.0,13.0,4.0,20.0,0.9464285714285714,85.0,29.0,690.0,29.0,8.0,3.0,2.0,10.0,4.0,29.0,110.0,30.0,15.0,8.0,Healthy
Salads,Premium Southwest Salad (without Chicken),8.1 oz (230 g),140.0,40.0,4.5,7.0,2.0,9.0,0.9464285714285714,10.0,3.0,150.0,6.0,20.0,7.0,6.0,23.0,6.0,6.0,160.0,25.0,15.0,10.0,Healthy
Salads,Premium Southwest Salad with Crispy Chicken,12.3 oz (348 g),450.0,190.0,22.0,33.0,4.5,22.0,0.9464285714285714,50.0,17.0,850.0,35.0,42.0,14.0,7.0,28.0,12.0,23.0,170.0,30.0,15.0,15.0,Healthy
Salads,Premium Southwest Salad with Grilled Chicken,11.8 oz (335 g),290.0,80.0,8.0,13.0,2.5,13.0,0.9464285714285714,70.0,23.0,680.0,28.0,28.0,9.0,7.0,28.0,10.0,27.0,170.0,30.0,15.0,15.0,Healthy
Snacks & Sides,Chipotle BBQ Snack Wrap (Crispy Chicken),4.6 oz (130 g),340.0,130.0,15.0,23.0,4.5,22.0,0.9464285714285714,30.0,11.0,780.0,33.0,37.0,12.0,1.0,6.0,8.0,14.0,4.0,22.642857142857142,10.0,10.0,Healthy
Snacks & Sides,Chipotle BBQ Snack Wrap (Grilled Chicken),4.3 oz (123 g),260.0,70.0,8.0,13.0,3.5,18.0,0.9464285714285714,40.0,14.0,700.0,29.0,30.0,10.0,1.0,6.0,7.0,16.0,4.0,2.0,10.0,10.0,Healthy
Snacks & Sides,Honey Mustard Snack Wrap (Crispy Chicken),4.3 oz (123 g),330.0,130.0,15.0,23.0,4.5,22.0,0.9464285714285714,35.0,11.0,730.0,30.0,34.0,11.0,1.0,5.0,3.0,14.0,2.0,22.642857142857142,10.0,10.0,Healthy
Snacks & Sides,Honey Mustard Snack Wrap (Grilled Chicken),4.1 oz (116 g),250.0,70.0,8.0,13.0,3.5,18.0,0.9464285714285714,45.0,14.0,650.0,27.0,27.0,9.0,1.0,5.0,2.0,16.0,2.0,2.0,10.0,10.0,Healthy
Snacks & Sides,Ranch Snack Wrap (Crispy Chicken),4.5 oz (128 g),360.0,180.0,20.0,30.0,5.0,27.0,0.9464285714285714,40.0,13.0,810.0,34.0,32.0,11.0,1.0,5.0,3.0,15.0,2.0,22.642857142857142,10.0,10.0,Healthy
Snacks & Sides,Ranch Snack Wrap (Grilled Chicken),4.3 oz (121 g),280.0,120.0,13.0,20.0,4.5,22.0,0.9464285714285714,45.0,16.0,720.0,30.0,25.0,8.0,1.0,5.0,2.0,16.0,2.0,2.0,10.0,10.0,Healthy
Snacks & Sides,Small French Fries,2.6 oz (75 g),230.0,100.0,11.0,17.0,1.5,8.0,0.9464285714285714,66.13425925925925,22.13888888888889,130.0,5.0,30.0,10.0,2.0,10.0,32.5531914893617,2.0,17.63131313131313,30.0,24.34375,4.0,Healthy
Snacks & Sides,Medium French Fries,3.9 oz (111 g),340.0,140.0,16.0,24.0,2.5,11.0,0.9464285714285714,66.13425925925925,22.13888888888889,190.0,8.0,44.0,15.0,4.0,14.0,32.5531914893617,4.0,17.63131313131313,45.0,2.0,4.0,Healthy
Snacks & Sides,Large French Fries,5.9 oz (168 g),510.0,220.0,24.0,37.0,3.5,17.0,0.9464285714285714,66.13425925925925,22.13888888888889,290.0,12.0,67.0,22.0,5.0,22.0,32.5531914893617,6.0,17.63131313131313,70.0,2.0,8.0,Unhealthy
Snacks & Sides,Kids French Fries,1.3 oz (38 g),110.0,50.0,5.0,8.0,1.0,4.0,0.9464285714285714,66.13425925925925,22.13888888888889,65.0,3.0,15.0,5.0,1.0,5.0,32.5531914893617,1.0,17.63131313131313,15.0,24.34375,2.0,Healthy
Snacks & Sides,Side Salad,3.1 oz (87 g),20.0,160.4126213592233,17.454976303317537,26.881516587677726,7.81,38.955,0.9464285714285714,66.13425925925925,22.13888888888889,10.0,22.4,4.0,1.0,1.0,6.0,2.0,1.0,45.0,25.0,2.0,4.0,Healthy
Snacks & Sides,Apple Slices,1.2 oz (34 g),15.0,160.4126213592233,17.454976303317537,26.881516587677726,7.81,38.955,0.9464285714285714,66.13425925925925,22.13888888888889,513.5258964143426,22.4,4.0,1.0,2.2198952879581153,8.890052356020943,3.0,14.88412017167382,17.63131313131313,160.0,2.0,11.297752808988765,Healthy
Snacks & Sides,Fruit 'n Yogurt Parfait,5.2 oz (149 g),150.0,20.0,2.0,3.0,1.0,5.0,0.9464285714285714,5.0,2.0,70.0,3.0,30.0,10.0,1.0,3.0,23.0,4.0,2.0,15.0,10.0,4.0,Healthy
